,text,category,rank
214,Stress gree,STRESS,1
215,8hrs,STRESS,Can't rate
216,On point food,WATER,Can't rate
217,Overwhelmed ,STRESS,2
218,8 hrs,SLEEP,4
219,6 hrs,SLEEP,2
220,In between handled well and overwhelmed. ,STRESS,2
221,I think that should be another option. Handled well to derailed day is a big jump ,STRESS,2
222,7,WORKOUT,Can't rate
223,On point,FOOD,4
224,8,SLEEP,4
225,64 for sure,WATER,4
226,Stress free,STRESS,4
227,Yes,WORKOUT,4
228,Stress free ,STRESS,4
229,6,SLEEP,2
230,Connections ,STRESS,Can't rate
231,7,SLEEP,3
232,No😑,WORKOUT,Can't rate
233,8,SLEEP,4
234,4,SLEEP,4
235,Overwhelmed,STRESS,2
236,On point,FOOD,4
237,23oz,WATER,2
238,5,SLEEP,2
239,6 hours ,SLEEP,2
240,Good ,FOOD,4
241,On point ,FOOD,4
242,32oz ,WATER,3
243,Slept 8 hours,SLEEP,4
244,No workout today...stretching!! Did a lot of hill walking yesterday and my knees are killing me ,WORKOUT,1
245,Pretty stress free today ,STRESS,4
246,Food is almost perfect. Feeling very focused today.,FOOD,3
247,Very healthy 4,FOOD,Can't rate
248,8,SLEEP,4
249,32,WORKOUT,Can't rate
250,7,SLEEP,3
251,3,SLEEP,1
252,32,WATER,3
253,Shitty,WATER,Can't rate
254,Away down NJ shore.  Ate a lot of food. Treated myself to desert too. ,WATER,1
255,7.2 hours ,SLEEP,4
256,Drank enough water to get to 64+,WATER,2
257,Recovery day ,STRESS,2
258,No,WORKOUT,Can't rate
259,7,SLEEP,3
260,8+,SLEEP,4
261,"Yesterday:
Stress free",STRESS,4
262,Need to step it up,FOOD,2
263,32 oz down! ,WATER,3
264,8 hrs of sleep!,SLEEP,4
265,"Yesterday:
64 oz down",WATER,4
266,"Yesterday:
No, not 112oz",WATER,4
267,10,SLEEP,4
268,7 hrs ,SLEEP,3
269,Yes I worked out,WORKOUT,3
270,Feel good ,SLEEP,Can't rate
271,Handled what was thrown my way well ,STRESS,3
272,8+,SLEEP,4
273,Good,FOOD,4
274,Free,STRESS,4
275,50,WATER,3
276,Yes 2x,SLEEP,1
277,Try my workout ,WORKOUT,Can't rate
278,Its about 2 miles ,SLEEP,1
279,10-12 stairs is a flight. ,SLEEP,4
280,If u want to do a run instead ,WORKOUT,Can't rate
281,Row bike run. Like a sprint tri,WORKOUT,Can't rate
282,5hrs,SLEEP,2
283,Handled ,STRESS,3
284,On point ,FOOD,4
285,"Liked “We all have bad food weekends here and there, forget it.  With the holiday week upon us stay the course all week, so you may enjoy yourself thursday.”",FOOD,Can't rate
286,80+ water today ,WATER,4
287,8,SLEEP,4
288,Yes ,WORKOUT,4
289,37,WATER,3
290,8+hrs,SLEEP,4
291,8+ hrs,SLEEP,4
292,7 hrs ,SLEEP,3
293,Ran 6 miles ,WORKOUT,3
294,Stress free ,STRESS,4
295,On point,FOOD,4
296,8 hrs.,SLEEP,4
297,"Stress free
64oz",STRESS,4
298,"Did well: eat well

Do better: ?",FOOD,Can't rate
299,Great,WORKOUT,Can't rate
300,Hoping this week is better. So far stress free,STRESS,4
301,Almost perfect ,FOOD,3
302,Almost 64oz,WATER,4
303,7-8 hours ,SLEEP,3
304,Almost perfect ,FOOD,3
305,Stress free,STRESS,4
306,64 oz,WATER,4
307,Of course ,WORKOUT,Can't rate
308,7,SLEEP,3
309,6 hours ,SLEEP,2
310,About 59 ,WATER,3
311,8,WORKOUT,Can't rate
312,32 oz but hydrated,WATER,3
313,"Loved “Lack of sleep is highly damaging to your body, make sure to nap today!”",SLEEP,1
314,Being instructed to nap. What fantasy life is this?!,SLEEP,Can't rate
315,No. Too sore for boxing.,WORKOUT,Can't rate
316,Handled what was thrown my way well.,STRESS,3
317,Ugh like none,SLEEP,1
318,Stress free,STRESS,4
319,8+,SLEEP,4
320,6.5,SLEEP,2
321,Handled what was thrown my way. ,STRESS,3
322,Almost perfect had a chocolate cookie and it was sooooo good.  ,FOOD,3
323,98!,SLEEP,Can't rate
324,Hahaha. Always is. ,FOOD,Can't rate
325,"Moving web site for Headcase forward.  
Do better: handling the every day crap at Durante Rentals. ",STRESS,2
326,Not today. ,WORKOUT,Can't rate
327,Slept 7,SLEEP,3
328,Slept 8 hours ,SLEEP,4
329,Taking today off from working out ,WORKOUT,3
330,6 hrs ,SLEEP,2
331,"Work was very stressful this morning, but I handled it as best as I could. ",STRESS,1
332,About 64,WATER,4
333,Need to eat!,FOOD,Can't rate
334,6.7,SLEEP,2
335,7.5,SLEEP,3
336,Handled,STRESS,3
337,Yes,WORKOUT,Can't rate
338,Slept about 5 restless hours ,SLEEP,2
339,Went for an hour jog/walk ,SLEEP,Can't rate
340,"60 oz of water so far, need to drink more ",WATER,3
341,No breakfast,FOOD,Can't rate
342,I think we did a little over 3 miles?,WORKOUT,Can't rate
343,8+,SLEEP,4
344,8.5 hrs,SLEEP,4
345,Didn't workout. I'm at hockey,WORKOUT,Can't rate
346,"Cooked healthy dinner.

Still amoking",FOOD,3
347,7,SLEEP,3
348,Yesterday was stress free,STRESS,4
349,8 hours of mostly good sleep! ,SLEEP,4
350,Stress free,STRESS,4
351,6 ,SLEEP,2
352,Not yet ,WORKOUT,Can't rate
353,On point ,FOOD,4
354,5+,SLEEP,2
355,Handled what is being thrown at me,STRESS,3
356,Yes,WORKOUT,Can't rate
357,I'm feeling good! Busy but not crazy. ,SLEEP,Can't rate
358,On point,FOOD,4
359,64,WATER,4
360,Handled,STRESS,3
361,6,SLEEP,2
362,Yes,WORKOUT,Can't rate
363,Step up,FOOD,2
364,Stress free ,STRESS,4
365,6.8,SLEEP,2
366,Praise ,STRESS,Can't rate
367,Less than 5 and not pleased,SLEEP,2
368,Handling things,STRESS,Can't rate
369,Feeling dehydrated! Will drink more.,WATER,Can't rate
370,Yes,WORKOUT,Can't rate
371,On point,FOOD,4
372,7.5,SLEEP,3
373,Handled,STRESS,3
374,yes,WORKOUT,Can't rate
375,"Fasted 18 hours.

Smoked.",SLEEP,4
376,6,SLEEP,2
377,Handling,STRESS,3
378,On point,FOOD,4
379,Dehydrated,WATER,3
380,No,WORKOUT,Can't rate
381,Need to step it up,FOOD,2
382,8.5 hrs,SLEEP,4
383,Didn't workout,WORKOUT,Can't rate
384,Not enough water. ,WATER,2
385,Overwhelmed,STRESS,2
386,"Learned a lot boxing last night! 

Finished my laundry 🤦🏻‍♀️",WORKOUT,Can't rate
387,Stress free,STRESS,4
388,8 hours,SLEEP,4
389,On point ,FOOD,4
390,A gallon and yes,WATER,Can't rate
391,Hello! Didn't sleep well last night and took the morning off from a workout ,SLEEP,Can't rate
392,"Heading to the beach now, though, so lots of walking...",WORKOUT,Can't rate
393,6 hrs ,SLEEP,2
394,Almost perfect food intake,FOOD,3
395,"Too much to handle, shut down ",STRESS,1
396, 6hrs,SLEEP,2
397,64oz for sure,WATER,4
398,Yes today I did. I didn't eat everything like days past ,FOOD,Can't rate
399,6 hrs ,SLEEP,2
400,8 hours,SLEEP,4
401,On point,FOOD,4
402,64oz for sure,WATER,4
403,Vacation perfect. 😎,FOOD,4
404,32,WATER,3
405,Almost perfect,FOOD,3
406,Lolol what's shut eye? Less than 5. ,SLEEP,1
407,Handled,STRESS,Can't rate
408,7.5,WORKOUT,Can't rate
409,On point,FOOD,4
410,32oz down!,WATER,3
411,6 hrs,SLEEP,2
412,Stress free,STRESS,4
413,On point,FOOD,4
414,64oz ,WATER,4
415,"3 ROUNDS / 1-2 MIN REST IN BW
200m farmers walk 20#
20 step ups 15#
30 seconds ropes
30 seconds burpees (10-12)
30 second deadlifts ( 16kg KB)
30 seconds air squats (15-20)",WORKOUT,Can't rate
416,It's never the same as going to TBB but it's better than no movement at all!  Especially since I have been slacking and am feeling it.,SLEEP,Can't rate
417,64 down yes ,WATER,4
418,"1 client! Closed another job, albeit small a job is a job is a job!",WATER,1
419,8+ hours,SLEEP,4
420,Stress free ,STRESS,4
421,Yes I worked out,WORKOUT,3
422,8+,SLEEP,4
423,Handled,STRESS,1
424,48,WATER,3
425,Indulged at dinner,FOOD,3
426,Worked hard today ,WORKOUT,Can't rate
427,Yes. Very cool. We ran out for an early dinner and are back and just chilling.,FOOD,3
428,Yes,WORKOUT,Can't rate
429,7 hrs ,SLEEP,3
430,Not good ,FOOD,1
431,All day meeting so didn't eat enough ,FOOD,1
432,Slept 7 hours,SLEEP,3
433,Stress free today ,STRESS,4
434,Breakfast was a banana and pb,FOOD,4
435,120 oz so far...I'm super thirsty today ,WATER,4
436,6,SLEEP,2
437,7 hours,SLEEP,3
438,Yes,WORKOUT,4
439,Yes,FOOD,Can't rate
440,I slept well - 8 hours but I got to bed late and didn't go to yoga ,SLEEP,4
441,But I did just take an hour walk ,SLEEP,Can't rate
442,"Yesterday review - i only had one drink all night but I did eat too much at dinner - I should have passed on the bread, I felt extra full ",SLEEP,4
443,Mildly annoyed...heading to the city later for an early dinner with my in laws. But the walk helped. ,STRESS,Can't rate
444,So does gin ,STRESS,Can't rate
445,"On point - apple with pb, omelette with veggies and avocado, 1 breakfast sausage ",FOOD,1
446,7 hrs,SLEEP,3
447,32oz down! ,WATER,3
448,"Feeling soooo bloated from days of holiday parties, looking forward to regrouping.  And trying to get organized with gym time, my husband being away until the 28th and the kids being home from school! ",WORKOUT,Can't rate
449,Yes I worked out! ,WORKOUT,3
450,"Boost/build on my own + some tempo squats, not the same but mission accomplished ",WORKOUT,1
451,9 hrs ,SLEEP,4
452,Didn't workout. Tomorrow!!,WORKOUT,Can't rate
453,Perfect! On point! 👊🏻,FOOD,4
454,9 hrs ,SLEEP,4
455,Didn't workout. Tomorrow!!,WORKOUT,Can't rate
456,6,SLEEP,2
457,Stress free ,STRESS,1
458,Have not eaten yet today ,FOOD,1
459,Will do! ,FOOD,Can't rate
460,6 ish hours,SLEEP,2
461,Was checked out today but did ok. Food was almost perfect and got in 120 oz of water. Did not work out. Handled the little annoyances of the day. ,FOOD,3
462,Slept 6 hours ,SLEEP,2
463,Handled ,STRESS,1
464,On point ,FOOD,4
465,64+,WATER,4
466,Yes ,WORKOUT,Can't rate
467,"My workout 
My meals could have been be",WORKOUT,Can't rate
468,8hrs,SLEEP,4
469,Handled stress,STRESS,3
470,64oz,WATER,4
471,Food on point,FOOD,4
472,Stress free,STRESS,4
473,9 hours,SLEEP,4
474,32 oz,WATER,3
475,Rest day. 10 minute ab workout at home. ,WORKOUT,Can't rate
476,"In between ""almost perfect"" and ""need to step it up"". Haven't made great choices today (which is usual for a Sunday) but I've been really careful to keep portion size of the not- so- healthy stuff very small. ",FOOD,2
477,Stress free in the Grenadines ,STRESS,4
478,7.25,WATER,Can't rate
479,Almost perfect,FOOD,3
480,Yes,WORKOUT,Can't rate
481,Slept 5 hours,SLEEP,2
482,Stress free ,STRESS,4
483,On point ,FOOD,4
484,Only 48oz,WATER,3
485,6,SLEEP,2
486,Stress free! ,STRESS,4
487,7,SLEEP,3
488,5.5,SLEEP,2
489,Stress free Saturday. ,STRESS,4
490,On point ,FOOD,4
491,52,WATER,3
492,Yes swim and run ,WORKOUT,Can't rate
493,"Did well: solidified my strategic partnership with wicked cow 
Do better: I ate after my window last night. ",FOOD,Can't rate
494,Yes,WORKOUT,Can't rate
495,5.5,SLEEP,1
496,Meditation planned for later ,STRESS,Can't rate
497,Stress free ,STRESS,4
498,On point ,FOOD,4
499,6 ,SLEEP,2
500,64,WATER,4
501,"Powered through a 14 hr day.  

Put my foot down on some hard business conversations. ",SLEEP,Can't rate
502,Nope. Rest day ,SLEEP,Can't rate
503,5.5 hours ,SLEEP,2
504,Stressful but handling it ,STRESS,1
505,On point ,FOOD,4
506,90 ozs,WATER,4
507,Slept 8 hours ,SLEEP,4
508,Run a minute/walk a minute for 30 minutes ,WATER,2
509,Did a little over 3 miles ,SLEEP,1
510,"So...there is a 10k in town on November 30. I'm signing up. I asked on Facebook if anyone wanted to join me in training and run slowly with me, and there were so many responses that I actually started a ""Slow Runners of Pelham"" page. I'm doing this!!",SLEEP,4
511,Stress free,STRESS,4
512,Food was on point today ,FOOD,4
513,Water at 150oz,WATER,4
514,8 hours - needed it,SLEEP,4
515,Didn't make it to build but did 50 squats. Boxing later today,WORKOUT,Can't rate
516,Whew haha 8 or so #LDW,SLEEP,4
517,9 hours,SLEEP,4
518,Stress free ,STRESS,4
519,On point ,FOOD,4
520,5hrs,SLEEP,1
521,5 hours,SLEEP,2
522,Stress...handling it...thank you :),STRESS,3
523,Yes. Build ,WORKOUT,Can't rate
524,6,SLEEP,2
525,Handled ,STRESS,1
526,On point,FOOD,4
527,Stress free ,STRESS,4
528,6.8,SLEEP,2
529,Preparation ,STRESS,Can't rate
530,Handled,STRESS,3
531,No,WORKOUT,Can't rate
532,8,SLEEP,4
533,Slept 8 hours ,SLEEP,4
534,Stress free day ,STRESS,4
535,Yeah I worked out! I did a 10k!!,WORKOUT,3
536,Breakfast - havent eaten ,FOOD,Can't rate
537,120 oz so far,WATER,4
538,Almost perfect ,FOOD,3
539,"7.5
Overwhelmed 
64 oz ",SLEEP,3
540,On point ,FOOD,4
541,7 hours of sleep ,SLEEP,3
542,8,SLEEP,4
543,Not yet ,FOOD,1
544,Almost perfect ,FOOD,3
545,10,SLEEP,4
546,On point,FOOD,4
547,Stress free,STRESS,4
548,64,WATER,4
549,21 pushups,WATER,2
550,Yes,WORKOUT,Can't rate
551,7,SLEEP,3
552,5 hours,SLEEP,2
553,Yes with vin and took class ,WORKOUT,Can't rate
554,Food is on point,FOOD,4
555,Water I'm at 120,WATER,4
556,Stress is fine,STRESS,Can't rate
557,My food up until my cheat meal,FOOD,3
558,8 plus,SLEEP,4
559,I had fun good,WORKOUT,Can't rate
560,"I survived on little sleep.

I need more sleep.",SLEEP,1
561,8,SLEEP,4
562,Overwhelmed today,STRESS,2
563,More like 32oz,WATER,3
564,7 hours ,SLEEP,3
565,64 oz ,WATER,4
566,No stress,STRESS,4
567,Good workout did 45 on the peloton and an ab workout ,WORKOUT,Can't rate
568,"Ate well today I had fruit and smoothie for breakfast, no lunch bc I was on the plane so I snacked on sweet pea crisps and pistachios, and had salad, chicken, brocoli, and sweet potatoes for dinner ",FOOD,3
569,8+ hrs,SLEEP,4
570,Stress free,STRESS,4
571,Not great just had an acai fruit bowl with breakfast but at like 1:00 bc got up late ,SLEEP,1
572,Ya ,WORKOUT,Can't rate
573,"6 hours
Handling
On point",SLEEP,2
574,Stress free. ,STRESS,4
575,8,SLEEP,4
576,Stress free ,STRESS,4
577,7 ,SLEEP,3
578,Yes!,WORKOUT,Can't rate
579,8 hours,SLEEP,4
580,On point ,FOOD,4
581,64oz for sure,WATER,4
582,Stress free,STRESS,4
583,"Loved “Weekly review:  average sleep 6.2 hrs/nt.  Food and water are amazing, and you are stress free.  You may want to try to set a min amount of hrs/night for sleep.”",SLEEP,3
584,Yes I worked out,WORKOUT,3
585,I could have slept better last night which affected my performance today,SLEEP,Can't rate
586,Stress free ,STRESS,4
587,7,SLEEP,3
588,Yes great session ,STRESS,Can't rate
589,7,SLEEP,3
590,32oz down!,WATER,3
591,6 hrs,SLEEP,2
592,"3 ROUNDS / 1-2 MIN REST IN BW
200m farmers walk 20#
20 step ups 15#
30 seconds ropes
30 seconds burpees (10-12)
30 second deadlifts ( 16kg KB)
30 seconds air squats (15-20)",WORKOUT,Can't rate
593,About 6,SLEEP,2
594,Ya did 100 burpees and now going on a hike ,WORKOUT,Can't rate
595,Good I just had a quinoa vegi bowl from last night for breakfast,FOOD,4
596,And haven't really eaten since ,FOOD,1
597,"I get home late Saturday. I could do Sunday, but is there any chance we could do Monday instead? It's my best friends birthday Sunday and we are planning on doing breakfast before work. Just lmk! ",SLEEP,Can't rate
598,6,SLEEP,2
599,Slept 7,SLEEP,3
600,"Did a workout ok the water, ran, and erged ",WATER,Can't rate
601,Wasn't stressed ,STRESS,1
602,6 hours,SLEEP,2
603,"Loved “James.  Lets crush this year!  We will get there together.  average sleep of 6.38 hrs/nt.  food and water were ok, could be better.   If you have considered using My fitness Pal to measure we are testing integrating it at the moment.

Weekly graph and daily reviews here:”",FOOD,4
604,Good workout,WORKOUT,Can't rate
605,5 hours ,SLEEP,2
606,7,SLEEP,3
607,Stress free ,STRESS,4
608,Didn't workout. ,WORKOUT,Can't rate
609,On point ,FOOD,4
610,36,WATER,3
611,6 hrs,SLEEP,2
612,7,SLEEP,3
613,6!,SLEEP,2
614,6 hours,SLEEP,2
615,Stress fee,STRESS,3
616,This past week was great! I slept more than usual and have found balance with nutrition and fitness that works for me. Less stress this week helped with everything. 😎,STRESS,3
617,Yes I worked out,WORKOUT,3
618,Free,STRESS,4
619,On point for food,FOOD,4
620,Less than 5,SLEEP,2
621,"Almost perfect 

64 oz for sure

Handled what was thrown my way 

Was able to relax and clear my brain

Been more tolerant of people around me





",WATER,4
622,"8 

Taking today off - body feels like it needs some extra rest ",SLEEP,4
623,6 hr ,SLEEP,2
624,Need to step it up ,FOOD,2
625,32 oz ,WATER,3
626,Stress free ,STRESS,4
627,6,SLEEP,2
628,Yea ,WORKOUT,Can't rate
629,Overwhelmed ,STRESS,2
630,6,SLEEP,2
631, Yes ,WORKOUT,Can't rate
632,Almost perfect,FOOD,3
633,64 oz,WATER,4
634,7 hours,SLEEP,3
635,Rest day. Was really sore from workouts Mon-Wed. Did 10 minute ab workout at home. ,WORKOUT,Can't rate
636,Today I was just really tired and stressed. Last night I was tired  so skipped making/eating dinner. I think that lowered my energy today. I ate ok today and drank a lot of water. ,WATER,Can't rate
637,Handled what was thrown,STRESS,Can't rate
638,8+ hrs of sleep,SLEEP,4
639,2-3 times a week,SLEEP,1
640,On point ,FOOD,4
641,Stress free ,STRESS,4
642,64 oz for sure ,WATER,4
643,"Yes... uphill interval sprints, yoga and push up challenge",WORKOUT,Can't rate
644,Less than 5hrs ,SLEEP,2
645,Stress free ,STRESS,4
646,32oz,WATER,3
647,I feel great ,SLEEP,Can't rate
648,Yes .. I did workout,WORKOUT,Can't rate
649,Almost perfect ,FOOD,3
650,6 hours,SLEEP,2
651,Handled stress,STRESS,3
652,Didn't work out,WORKOUT,Can't rate
653,Had eye surgery this morning....just chilling,STRESS,Can't rate
654,8.5 hours,SLEEP,4
655,I worked out,WORKOUT,3
656,Overwhelmed,STRESS,2
657,I stayed on track with macros even though I had breakfast and lunch meetings.,FOOD,Can't rate
658,I could have worked less.,WORKOUT,Can't rate
659,8+,SLEEP,4
660,On point,FOOD,4
661,A few sips here and there but not enough. I'm working on it!,WATER,2
662,Stress free!,STRESS,4
663,7,SLEEP,3
664,Handled ,STRESS,1
665,Food on point ,FOOD,4
666,64+,WATER,4
667,Yes ,WORKOUT,Can't rate
668,6 hours of sleep,SLEEP,2
669,Did not workout yet today,WORKOUT,Can't rate
670,Almost perfect,FOOD,3
671,Yes healthy breakfast,FOOD,Can't rate
672,Hello,FOOD,Can't rate
673,Yes,WORKOUT,Can't rate
674,7 am,SLEEP,3
675,11 pm,SLEEP,4
676,10 pm,SLEEP,4
677,12,SLEEP,4
678,On point ,FOOD,4
679,7,SLEEP,3
680,None,STRESS,Can't rate
681,4:10 AM,SLEEP,1
682,JP Rutigliano,SLEEP,Can't rate
683,5 AM,WORKOUT,5
684,5 AM,SLEEP,2
685,5hrs,SLEEP,2
686,5 hours ,SLEEP,2
687,Yes - build ,WORKOUT,Can't rate
688,Stress free,STRESS,4
689,6,SLEEP,2
690,Killed it at work. Did not eat responsibly after 3pm which is a bit too early to fail.,SLEEP,1
691,6!,SLEEP,2
692,"Workout YES
Stress SPANKED
Food 🤫 ",FOOD,Can't rate
693,Worked out even though my feet hurt ,WORKOUT,3
694,7,SLEEP,3
695,Less than 5,SLEEP,1
696,Stress free ,STRESS,4
697,On point ,FOOD,4
698,32oz,WATER,3
699,Yes,WORKOUT,4
